Date	Payee	Amount	Category	Memo	Status	Number
2022-05-05	E.LECLERC	-15,04	Alimentation:Supermarché		R	
2022-05-05	OUI ENERGY	-11,38	Logement:Frais généraux:Electricité		R	
2022-05-05	FREE HAUTDEBIT	-54,49	Logement:Frais généraux:Internet-TV-Téléphone		R	
2022-05-06	MICROSOFT	-7	Loisirs:Service Numérique		R	
2022-05-06	LA BANQUE POSTALE	-20	Retrait despèces		R	
2022-05-07	BUREAU VALLEE	-19,74	Logement:Equipement		R	
2022-05-07	IBAN FR7611315XXXXX44	-150	Non attribué		R	
2022-05-07	ATM	-160	Retrait despèces		R	
2022-05-08	MONOPRIX	-22,12	Alimentation:Supermarché		R	
2022-05-08	ATM	-20	Retrait despèces		R	
2022-05-09	LE LONGCHAMP	-21	Junk:Tabac		R	
2022-05-09	ATM	-150	Retrait despèces		R	
2022-05-09	WECASA	-29,9	Soins:Coiffeur		R	
2022-05-10	E.LECLERC	-68,97	Alimentation:Supermarché		R	
2022-05-12	FONCIA AD IMMOBILIER GERANCE	705	Revenus fonciers		R	
2022-05-13	E.LECLERC	-24,2	Alimentation:Supermarché		R	
2022-05-13	YOUNITED	-32,4	Crédit:Mensualité		R	
2022-05-13	ECLAIR D ARCY	-57	Junk:Tabac		R	
2022-05-14	E.LECLERC	-13,68	Alimentation:Supermarché		R	
2022-05-14	JETBRAINS	-6,36	Loisirs:Service Numérique		R	
2022-05-14	ATM	-300	Retrait despèces		R	
2022-05-15	BP	-10,35	Automobile:Carburant		R	
2022-05-15	LYDIA	-4,5	Frais bancaires		R	
2022-05-15	AMAZON DIGIT	-4,99	Loisirs:Service Numérique		R	
2022-05-16	QUICK	-10,2	Alimentation:Fast food		R	
2022-05-16	MONOPRIX	-24,75	Alimentation:Supermarché		R	
2022-05-16	TOTAL	-150	Automobile:Carburant		R	
2022-05-16	CMNE DE MONTIGNY LE BRETONN	-1	Automobile:Stationnement		R	
2022-05-16	GRAND PARIS SEINE OUEST	-2	Automobile:Stationnement		R	
2022-05-16	LE LONGCHAMP	-17,5	Junk:Tabac		R	
2022-05-16	BUREAU VALLEE	-13,98	Logement:Equipement		R	
2022-05-16	AMAZON DIGIT	-3,99	Loisirs:Service Numérique		R	
2022-05-16	TOTAL	110	Pending:Pending Carburant		R	
2022-05-17	J&W CAFE TABAC	-4	Alimentation:Restaurant		R	
2022-05-17	TOPAL ENGIN	-21	Junk:Tabac		R	
2022-05-17	NORDVPN	-12,71	Loisirs:Service Numérique		R	
2022-05-18	BP	-5,42	Automobile:Carburant		R	
2022-05-18	CMNE DE BAGNEUX	-2	Automobile:Stationnement		R	
2022-05-18	GRAND PARIS SEINE OUEST	-3	Automobile:Stationnement		R	
2022-05-18	GRAND PARIS SEINE OUEST	-2	Automobile:Stationnement		R	
2022-05-18	GRAND PARIS SEINE OUEST	-1,6	Automobile:Stationnement		R	
2022-05-19	E.LECLERC	-37,84	Alimentation:Supermarché		R	
2022-05-19	MICROSOFT	-6,52	Loisirs:Service Numérique		R	
2022-05-20	AMAZON DIGIT	-4,99	Loisirs:Service Numérique		R	
2022-05-21	E.LECLERC	-46,42	Alimentation:Supermarché		R	
2022-05-21	AMAZON	-34,78	Logement:Equipement		R	
2022-05-21	AMAZON	-17,9	Logement:Equipement		R	
2022-05-21	SA SUED	-19,99	Loisirs:Service Numérique		R	
2022-05-22	MONOPRIX	-12,37	Alimentation:Supermarché		R	
2022-05-22	LE LONGCHAMP	-17,5	Junk:Tabac		R	
2022-05-22	AMAZON DIGIT	-4,99	Loisirs:Service Numérique		R	
2022-05-22	AMAZON DIGIT	-3,99	Loisirs:Service Numérique		R	
2022-05-22	APPLE	-2,99	Loisirs:Service Numérique		R	
2022-05-23	CMNE DE PARIS	-6	Automobile:Stationnement		R	
2022-05-23	CMNE DE PARIS	-6	Automobile:Stationnement		R	
2022-05-23	FREE MOBILE	-36,98	Logement:Frais généraux:Téléphone mobile		R	
2022-05-23	AMAZON DIGIT	-4,99	Loisirs:Service Numérique		R	
2022-05-23	LINKEDIN	-29,74	Loisirs:Service Numérique		R	
2022-05-24	CMNE DE PARIS	-2	Automobile:Stationnement		R	
2022-05-24	PAYBYPHONE	-4,5	Automobile:Stationnement		R	
2022-05-24	AMAZON DIGIT	-4,99	Loisirs:Service Numérique		R	
2022-05-24	LA BANQUE POSTALE	-210	Retrait despèces		R	
2022-05-24	BONNEFOY JULIEN	220,32	Transaction interne		R	
2022-05-25	MONOPRIX	-33,61	Alimentation:Supermarché		R	
2022-05-25	LYDIA	-3,15	Frais bancaires		R	
2022-05-25	HORUS PHARMA	615,97	Revenus du travail:Salaire brut:Salaire net		R	
2022-05-26	RDT BOULANG	-5,1	Alimentation:Boulangerie		R	
2022-05-26	ATM	-40	Retrait despèces		R	
2022-05-26	LA BANQUE POSTALE	-60	Retrait despèces		R	
2022-05-26	PHARMACIE REPUBLIQUE	-19,98	Santé:Paharmacie		R	
2022-05-27	SITIS MARKET	-16,04	Alimentation:Supermarché		R	
2022-05-27	BP	-17,5	Automobile:Carburant		R	
2022-05-27	LYDIA	-2	Frais bancaires		R	
2022-05-27	LE LONGCHAMP	-17,5	Junk:Tabac		R	
2022-05-27	HORUS PHARMA	2456,72	Revenus du travail:Salaire brut:Salaire net		R	
2022-05-28	MONOPRIX	-45,76	Alimentation:Supermarché		R	
2022-05-28	MONOPRIX	-30,04	Alimentation:Supermarché		R	
2022-05-28	LE ROYAL CAMBRO	-21	Junk:Tabac		R	
2022-05-28	AMAZON	-5,64	Logement:Equipement		R	
2022-05-28	AMAZON	-85,78	Logement:Equipement		R	
2022-05-28	MARCHAND NON COMMUNIQUÉ	0,2	Remboursements divers:Annulation/Régularistation transaction carte bancaire		R	
2022-05-29	BP	-6,68	Automobile:Carburant		R	
2022-05-30	ADS SUPERETTE	-7,8	Alimentation:Supérette		R	
2022-05-30	SWATCH	-47	Cadeaux		R	
2022-05-30	LA BANQUE POSTALE	-300	Retrait despèces		R	
2022-05-30	LA BANQUE POSTALE	-150	Retrait despèces		R	
2022-05-31	TOTAL	-150	Automobile:Carburant		R	
2022-05-31	CMNE DE PARIS	-6	Automobile:Stationnement		R	
2022-05-31	REL.PKG PORTE ST	-7,29	Automobile:Stationnement		R	
2022-05-31	LYDIA	-6,75	Frais bancaires		R	
2022-05-31	LYDIA	-7,9	Frais bancaires		R	
2022-05-31	TOTAL	119,86	Pending:Pending Carburant		R	
2022-06-01	KADOCOM	-30,58	Cadeaux		R	
2022-06-02	MONOPRIX	-46,76	Alimentation:Supermarché		R	
2022-06-02	LE BALTO	-25,2	Junk:Tabac		R	
2022-06-02	MESBAGAGES.CO	-33,8	Logement:Equipement		R	
2022-06-02	MARCHAND NON COMMUNIQUÉ	4,99	Remboursements divers:Annulation/Régularistation transaction carte bancaire		R	
2022-06-02	MARCHAND NON COMMUNIQUÉ	6	Remboursements divers:Annulation/Régularistation transaction carte bancaire		R	
2022-06-02	LA BANQUE POSTALE	-100	Retrait despèces		R	
2022-06-03	SITIS MARKET	-14,27	Alimentation:Supermarché		R	
2022-06-03	CMNE DE PARIS	-4	Automobile:Stationnement		R	
2022-06-04	MONOPRIX	-14,57	Alimentation:Supermarché		R	
2022-06-05	LA BANQUE POSTALE	-300	Retrait despèces		R	
2022-06-06	PETRIN RIBEIROU	-9,45	Alimentation:Boulangerie		R	
2022-06-06	DIRECT ASSURANCE	-22,39	Assurance:Assurance Habitation		R	
2022-06-06	FREE HAUTDEBIT	-54,49	Logement:Frais généraux:Internet-TV-Téléphone		R	
2022-06-06	MICROSOFT	-7	Loisirs:Service Numérique		R	
2022-06-07	SITIS MARKET	-10,33	Alimentation:Supermarché		R	
2022-06-07	CMNE DE PARIS	-6	Automobile:Stationnement		R	
2022-06-07	SYLVIE SANCTORUM	-250	Dettes personnelles		R	
2022-06-07	LE LONGCHAMP	-27,9	Junk:Tabac		R	
2022-06-07	OLIVIER LECHABLE	-122	Logement:Loyer		R	
2022-06-07	OLIVIER LECHABLE	-122	Logement:Loyer		R	
2022-06-07	MARCHAND NON COMMUNIQUÉ	5,64	Remboursements divers:Annulation/Régularistation transaction carte bancaire		R	
2022-06-08	MONOPRIX	-33,13	Alimentation:Supermarché		R	
2022-06-08	PAYBYPHONE	-4,5	Automobile:Stationnement		R	
2022-06-09	WECASA	-29,9	Soins:Coiffeur		R	
2022-06-10	E.LECLERC	-100,48	Alimentation:Supermarché		R	
2022-06-10	SNC PARC LYONDID	-2,4	Automobile:Stationnement		R	
2022-06-10	LE LONGCHAMP	-21	Junk:Tabac		R	
2022-06-10	ESPACE SFR	-25	Logement:Equipement		R	
2022-06-10	LA BANQUE POSTALE	-300	Retrait despèces		R	
2022-06-11	LIDL ST CYR L	-15,33	Alimentation:Supermarché		R	
2022-06-12	ATM	-40	Retrait despèces		R	
2022-06-13	CMNE DE MONTIGNY LE BRETONN	-1,7	Automobile:Stationnement		R	
2022-06-14	LA POSTE	-9,25	Logement:Frais généraux:Services postaux		R	
2022-06-14	JETBRAINS	-6,36	Loisirs:Service Numérique		R	
2022-06-14	ATM	-150	Retrait despèces		R	
2022-06-15	LIDL ST CYR L	-14,89	Alimentation:Supermarché		R	
2022-06-16	FRANPRIX	-9,9	Alimentation:Supermarché		R	
2022-06-16	CMNE DE PARIS	-4	Automobile:Stationnement		R	
2022-06-16	GRAND PARIS SEINE OUEST	-1,6	Automobile:Stationnement		R	
2022-06-16	TOPAL ENGIN	-19,7	Junk:Tabac		R	
2022-06-16	MINT ENERGIE	43,93	Remboursements divers:Remboursement délectricité		R	
2022-06-17	CARREFOUR	-5,48	Alimentation:Supermarché		R	
2022-06-17	E.LECLERC	-30,41	Alimentation:Supermarché		R	
2022-06-17	CMNE DE PARIS	-4	Automobile:Stationnement		R	
2022-06-17	CMNE DE PARIS	-4	Automobile:Stationnement		R	
2022-06-17	NORDVPN	-12,71	Loisirs:Service Numérique		R	
2022-06-17	MARCHAND NON COMMUNIQUÉ	6	Remboursements divers:Annulation/Régularistation transaction carte bancaire		R	
2022-06-18	PAYBYPHONE	-1	Automobile:Stationnement		R	
2022-06-18	PAYBYPHONE	-2	Automobile:Stationnement		R	
2022-06-19	BP	-13,88	Automobile:Carburant		R	
2022-06-19	MICROSOFT	-7,1	Loisirs:Service Numérique		R	
2022-06-20	SITIS MARKET	-8,37	Alimentation:Supermarché		R	
2022-06-20	CMNE DE PARIS	-6	Automobile:Stationnement		R	
2022-06-20	LE LONGCHAMP	-19	Junk:Tabac		R	
2022-06-20	APPLE	-9,99	Loisirs:Service Numérique		R	
2022-06-21	J&W CAFE TABAC	-15,5	Alimentation:Restaurant		R	
2022-06-21	AMAZON	-13,99	Logement:Equipement		R	
2022-06-21	AMAZON DIGIT	-4,99	Loisirs:Service Numérique		R	
2022-06-21	AMAZON DIGIT	-4,99	Loisirs:Service Numérique		R	
2022-06-21	LINKEDIN	-29,74	Loisirs:Service Numérique		R	
2022-06-21	BONNEFOY JULIEN	159,32	Transaction interne		R	
2022-06-22	CARREFOUR	-10,27	Alimentation:Supermarché		R	
2022-06-22	E.LECLERC	-61,26	Alimentation:Supermarché		R	
2022-06-22	CMNE DE PARIS	-6	Automobile:Stationnement		R	
2022-06-22	CMNE DE PARIS	-4	Automobile:Stationnement		R	
2022-06-22	CMNE DE PARIS	-6	Automobile:Stationnement		R	
2022-06-22	APPLE	-2,99	Loisirs:Service Numérique		R	
2022-06-23	CMNE DE PARIS	-6	Automobile:Stationnement		R	
2022-06-23	CMNE DE PARIS	-6	Automobile:Stationnement		R	
2022-06-23	CMNE DE PARIS	-6	Automobile:Stationnement		R	
2022-06-23	PAYBYPHONE	-1	Automobile:Stationnement		R	
2022-06-23	LA BANQUE POSTALE	-20	Retrait despèces		R	
2022-06-24	L ECLAIR D ARCY	-26	Alimentation:Boulangerie		R	
2022-06-24	E.LECLERC	-19,04	Alimentation:Supermarché		R	
2022-06-24	SA SUED	-39,95	Loisirs:Service Numérique		R	
2022-06-24	ATM	-450	Retrait despèces		R	
2022-06-24	HORUS PHARMA	587,8	Revenus du travail:Salaire brut:Salaire net		R	
2022-06-24	FONCIA AD IMMOBILIER GERANCE	1012,99	Revenus fonciers		R	
2022-06-25	E.LECLERC	-53,98	Alimentation:Supermarché		R	
2022-06-25	LYDIA	-6,75	Frais bancaires		R	
2022-06-25	FREE MOBILE	-37,32	Logement:Frais généraux:Téléphone mobile		R	
2022-06-25	IBAN FR7611315XXXXX44	-195	Non attribué		R	
2022-06-27	L HYPOTHESE	-11,2	Alimentation:Restaurant		R	
2022-06-27	FRANPRIX	-7,75	Alimentation:Supermarché		R	
2022-06-27	BP	-9,38	Automobile:Carburant		R	
2022-06-27	CMNE DE PARIS	-4	Automobile:Stationnement		R	
2022-06-27	CMNE DE PARIS	-6	Automobile:Stationnement		R	
2022-06-27	MARCHAND NON COMMUNIQUÉ	4	Remboursements divers:Annulation/Régularistation transaction carte bancaire		R	
2022-06-27	MARCHAND NON COMMUNIQUÉ	4	Remboursements divers:Annulation/Régularistation transaction carte bancaire		R	
2022-06-28	MCDONALDS	-15,6	Alimentation:Fast food		R	
2022-06-28	E.LECLERC	-96,93	Alimentation:Supermarché		R	
2022-06-28	MONOPRIX	-4,48	Alimentation:Supermarché		R	
2022-06-28	STARBUCKS	-9,6	Alimentation:TakeAway		R	
2022-06-28	CMNE DE BAGNEUX	-1	Automobile:Stationnement		R	
2022-06-28	CMNE DE PARIS	-4	Automobile:Stationnement		R	
2022-06-28	CMNE DE PARIS	-6	Automobile:Stationnement		R	
2022-06-28	TABAC MON ANGE	-20,5	Junk:Tabac		R	
2022-06-28	HORUS PHARMA	3076,04	Revenus du travail:Salaire brut:Salaire net		R	
2022-06-29	FRANPRIX	-12,85	Alimentation:Supermarché		R	
2022-06-29	CMNE DE PARIS	-4	Automobile:Stationnement		R	
2022-06-29	CMNE DE PARIS	-6	Automobile:Stationnement		R	
2022-06-29	APPLE	-98,99	Loisirs:Service Numérique		R	
2022-06-29	APPLE	-79,99	Loisirs:Service Numérique		R	
2022-06-30	E.LECLERC	-69,37	Alimentation:Supermarché		R	
2022-06-30	FRANPRIX	-7,68	Alimentation:Supermarché		R	
2022-06-30	CMNE DE PARIS	-6	Automobile:Stationnement		R	
2022-06-30	CMNE DE PARIS	-6	Automobile:Stationnement		R	
2022-06-30	LYDIA	-7,9	Frais bancaires		R	
2022-06-30	ARLOME	-5,3	Junk:Tabac		R	
2022-06-30	SAMSONITE STORE PARIS	-33	Logement:Equipement		R	
2022-07-01	MONOPRIX	-16,01	Alimentation:Supermarché		R	
2022-07-01	PAYBYPHONE	-4,5	Automobile:Stationnement		R	
2022-07-01	ZENCO	-44	Loisirs:Service Numérique		R	
2022-07-01	ATM	-300	Retrait despèces		R	
2022-07-01	LA BANQUE POSTALE	-210	Retrait despèces		R	
2022-07-02	ASTERIX RESTAU	-6,2	Alimentation:Restaurant		R	
2022-07-02	ASTERIX RESTAU	-7	Alimentation:Restaurant		R	
2022-07-02	COFIROUTE	-5,5	Automobile:Péage		R	
2022-07-02	CC SAINT LAZARE	-4,1	Automobile:Stationnement		R	
2022-07-02	CGF15868PAULK2	-9,9	Non attribué		R	
2022-07-02	MARCHAND NON COMMUNIQUÉ	4	Remboursements divers:Annulation/Régularistation transaction carte bancaire		R	
2022-07-02	APPLE	98,99	Remboursements divers:Retour marchandise		R	
2022-07-02	LODING	-218	Soins:Habillement		R	
2022-07-02	ZARA	-89,95	Soins:Habillement		R	
2022-07-03	MONOPRIX	-19,18	Alimentation:Supermarché		R	
2022-07-03	COFIROUTE	-4	Automobile:Péage		R	
2022-07-03	LA BANQUE POSTALE	-150	Retrait despèces		R	
2022-07-04	SHOP AND CLEAN B.V.	-127	Junk:G		R	
2022-07-05	E.LECLERC	-180	Alimentation:Supermarché		R	
2022-07-05	E.LECLERC	-22,47	Alimentation:Supermarché		R	
2022-07-05	MONOPRIX	-10,29	Alimentation:Supermarché		R	
2022-07-05	STARBUCKS	-9,6	Alimentation:TakeAway		R	
2022-07-05	S N B	-24	Non attribué		R	
2022-07-05	PHARMACIE PREMIERE	-41,32	Santé:Paharmacie		R	
2022-07-06	DIRECT ASSURANCE	-22,39	Assurance:Assurance Habitation		R	
2022-07-06	BP	-3,2	Automobile:Carburant		R	
2022-07-06	SYLVIE SANCTORUM	-250	Dettes personnelles		R	
2022-07-06	AMAZON	-82,31	Logement:Equipement		R	
2022-07-06	FREE HAUTDEBIT	-63,48	Logement:Frais généraux:Internet-TV-Téléphone		R	
2022-07-06	MICROSOFT	-7	Loisirs:Service Numérique		R	
2022-07-07	PETRIN RIBEIROU	-6,3	Alimentation:Boulangerie		R	
2022-07-07	MONOPRIX	-44,92	Alimentation:Supermarché		R	
2022-07-07	BP	-1,6	Automobile:Carburant		R	
2022-07-07	LE LONGCHAMP	-22,5	Junk:Tabac		R	
2022-07-07	OUI ENERGY	-74,18	Logement:Frais généraux:Electricité		R	
2022-07-08	AUX MERVEILLEUX	-42,1	Alimentation:Boulangerie		R	
2022-07-08	E.LECLERC	-450	Alimentation:Supermarché		R	
2022-07-08	E.LECLERC	-46,21	Alimentation:Supermarché		R	
2022-07-08	OLIVIER LECHABLE	-122	Logement:Loyer		R	
2022-07-08	MARCHAND NON COMMUNIQUÉ	0,6	Remboursements divers:Annulation/Régularistation transaction carte bancaire		R	
2022-07-09	LYDIA	-4,35	Frais bancaires		R	
2022-07-09	MARCHAND NON COMMUNIQUÉ	4	Remboursements divers:Annulation/Régularistation transaction carte bancaire		R	
2022-07-09	LA BANQUE POSTALE	-240	Retrait despèces		R	
2022-07-10	PETRIN RIBEIROU	-12,6	Alimentation:Boulangerie		R	
2022-07-10	MONOPRIX	-15,82	Alimentation:Supermarché		R	
2022-07-10	LYDIA	-3,6	Frais bancaires		R	
2022-07-10	UBER	33,22	Pending:Pending VTC-Taxi		R	
2022-07-10	MARCHAND NON COMMUNIQUÉ	6	Remboursements divers:Annulation/Régularistation transaction carte bancaire		R	
2022-07-10	LA BANQUE POSTALE	-100	Retrait despèces		R	
2022-07-10	UBER	-37,2	Transport:VTC-Taxi		R	
2022-07-10	UBER	-38,53	Transport:VTC-Taxi		R	
2022-07-10	UBER	-33,22	Transport:VTC-Taxi		R	
2022-07-11	LYDIA	-1,5	Frais bancaires		R	
2022-07-11	IBAN FR7630066XXXXX32	-150	Non attribué		R	
2022-07-11	ATM	-70	Retrait despèces		R	
2022-07-11	BONNEFOY JULIEN	250	Transaction interne		R	
2022-07-12	NICOLE ET LOUIS	-4,4	Alimentation:Restaurant		R	
2022-07-12	MONOPRIX	-25,98	Alimentation:Supermarché		R	
2022-07-12	COFIROUTE	-2,7	Automobile:Péage		R	
2022-07-12	LYDIA	-1,04	Frais bancaires		R	
2022-07-12	UBER	1,33	Pending:Pending VTC-Taxi		R	
2022-07-12	ATM	-30	Retrait despèces		R	
2022-07-12	UBER	-8,52	Transport:VTC-Taxi		R	
2022-07-12	UBER	-8,53	Transport:VTC-Taxi		R	
2022-07-13	COTE BOULANGE	-7	Alimentation:Boulangerie		R	
2022-07-13	SUSHI GROUPE	-21,2	Alimentation:Restaurant		R	
2022-07-13	COFIROUTE	-1,6	Automobile:Péage		R	
2022-07-13	LYDIA	-1	Frais bancaires		R	
2022-07-13	LA CAPE DE FEU	-22,6	Junk:Tabac		R	
2022-07-13	TABAC GLAB	-21	Junk:Tabac		R	
2022-07-13	BOULANGER	-98,99	Logement:Equipement		R	
2022-07-13	FONCIA AD IMMOBILIER GERANCE	705	Revenus fonciers		R	
2022-07-13	JULES	-29,99	Soins:Habillement		R	
2022-07-14	BP	-13,31	Automobile:Carburant		R	
2022-07-14	LYDIA	-3,3	Frais bancaires		R	
2022-07-14	JETBRAINS	-6,36	Loisirs:Service Numérique		R	
2022-07-14	LA BANQUE POSTALE	-220	Retrait despèces		R	
2022-07-15	MONOPRIX	-47,58	Alimentation:Supermarché		R	
2022-07-16	E.LECLERC	-150	Alimentation:Supermarché		R	
2022-07-16	E.LECLERC	-28,35	Alimentation:Supermarché		R	
2022-07-17	MCDONALDS	-12,4	Alimentation:Fast food		R	
2022-07-17	LYDIA	-2,25	Frais bancaires		R	
2022-07-17	AMAZON	-26,98	Logement:Equipement		R	
2022-07-17	NORDVPN	-12,71	Loisirs:Service Numérique		R	
2022-07-17	LA BANQUE POSTALE	-300	Retrait despèces		R	
2022-07-17	LA BANQUE POSTALE	-210	Retrait despèces		R	
2022-07-17	BONNEFOY JULIEN	350	Transaction interne		R	
2022-07-17	BONNEFOY JULIEN	100	Transaction interne		R	
2022-07-18	NICOLE ET LOUIS	-4,4	Alimentation:Restaurant		R	
2022-07-18	RELAIS EPI DOR	-3,3	Automobile:Carburant		R	
2022-07-18	TOTAL	-15,4	Automobile:Carburant		R	
2022-07-18	LYDIA	-7,65	Frais bancaires		R	
2022-07-18	LE LONGCHAMP	-28	Junk:Tabac		R	
2022-07-19	BP	-5,2	Automobile:Carburant		R	
2022-07-19	IBAN FR7616798XXXXX56	-65	Non attribué		R	
2022-07-20	MONOPRIX	-15,82	Alimentation:Supermarché		R	
2022-07-20	MARCHAND NON COMMUNIQUÉ	15,82	Non attribuée		R	
2022-07-23	LYDIA	-1	Frais bancaires		R	
2022-07-23	APPLE	-9,99	Loisirs:Service Numérique		R	
2022-07-23	APPLE	-2,99	Loisirs:Service Numérique		R	
2022-07-23	AMAZON	26,98	Remboursements divers:Retour marchandise		R	
2022-07-24	LYDIA	-0,5	Frais bancaires		R	
2022-07-25	SITIS MARKET	-11,09	Alimentation:Supermarché		R	
2022-07-25	MME MERCIER CELINE	1400	Dettes personnelles		R	
2022-07-25	MR OU MME BONNEFOY	1400	Dettes personnelles		R	
2022-07-25	AMMONITIA	-1	Logement:Loyer		R	
2022-07-25	AMMONITIA	-1520,1	Logement:Loyer		R	
2022-07-25	AMMONITIA	-975,71	Logement:Loyer		R	
2022-07-26	MR OU MME BONNEFOY	100	Dettes personnelles		R	
2022-07-26	MR OU MME BONNEFOY	100	Dettes personnelles		R	
2022-07-26	LYDIA	-0,5	Frais bancaires		R	
2022-07-26	AMMONITIA	-1	Logement:Loyer		R	
2022-07-26	AMMONITIA	-233,37	Logement:Loyer		R	
2022-07-26	AMMONITIA	-116,94	Logement:Loyer		R	
2022-07-26	MICROSOFT	-6,76	Loisirs:Service Numérique		R	
2022-07-27	LIDL ST CYR L	-33,09	Alimentation:Supermarché		R	
2022-07-28	FREE MOBILE	-46,1	Logement:Frais généraux:Téléphone mobile		R	
2022-07-28	HORUS PHARMA	1889,06	Revenus du travail:Salaire brut:Salaire net		R	
2022-07-29	MONOPRIX	-21,29	Alimentation:Supermarché		R	
2022-07-29	MAAF ASSURANCES	-49,25	Assurance:Assurance Habitation		R	
2022-07-29	YOUNITED	-21,6	Crédit:Mensualité		R	
2022-07-29	LE LONGCHAMP	-25,2	Junk:Tabac		R	
2022-07-29	MARCHAND NON COMMUNIQUÉ	1	Remboursements divers:Annulation/Régularistation transaction carte bancaire		R	
2022-07-29	HORUS PHARMA	664,35	Revenus du travail:Salaire brut:Salaire net		R	
2022-07-29	PHARMACIE RENAULT SC	-37,24	Santé:Paharmacie		R	
2022-07-29	TRESOR PUBLIC	-132,22	Taxes et impôts		R	
2022-07-30	E.LECLERC	-26,02	Alimentation:Supermarché		R	
2022-07-30	MARCHAND NON COMMUNIQUÉ	1	Remboursements divers:Annulation/Régularistation transaction carte bancaire		R	
2022-07-30	WECASA	29,9	Remboursements divers:Retour marchandise		R	
2022-07-30	LA BANQUE POSTALE	-40	Retrait despèces		R	
2022-07-30	WECASA	-29,9	Soins:Coiffeur		R	
2022-07-31	SITIS MARKET	-7,66	Alimentation:Supermarché		R	
2022-07-31	LYDIA	-1	Frais bancaires		R	
2022-07-31	LYDIA	-7,9	Frais bancaires		R	
2022-07-31	AMAZON	-13,99	Logement:Equipement		R	
2022-07-31	AMAZON	-11,99	Logement:Equipement		R	
2022-07-31	LA BANQUE POSTALE	-140	Retrait despèces		R	
2022-07-31	LA BANQUE POSTALE	-300	Retrait despèces		R	
2022-07-31	EUROPCAR	-149	Transport:Location de véhicule		R	
2022-08-01	LYDIA	-6,59	Frais bancaires		R	
2022-08-01	ALEXANDRE CASTRO	-70	Logement:Equipement		R	
2022-08-01	LEROY MERLIN	-102,7	Logement:Equipement		R	
2022-08-01	IBAN FR7618206XXXXX48	-66,15	Non attribué		R	
2022-08-01	WECASA	-29,9	Soins:Coiffeur		R	
2022-08-02	FRANPRIX	-56,05	Alimentation:Supermarché		R	
2022-08-02	LE LONGCHAMP	-19,7	Junk:Tabac		R	
2022-08-03	BOULANGERIE DAUTEUIL	-7,5	Alimentation:Boulangerie		R	
2022-08-03	MONOPRIX	-10,99	Alimentation:Supermarché		R	
2022-08-03	STARBUCKS	-9,6	Alimentation:TakeAway		R	
2022-08-03	INDIGO	-3,6	Automobile:Stationnement		R	
2022-08-03	PEARL DIFFUSION	-36,95	Logement:Equipement		R	
2022-08-03	UFC QUE CHOISIR	-45	Loisirs:Service Numérique		R	
2022-08-03	ATM	-300	Retrait despèces		R	
2022-08-03	PHARMACIE PREMIERE	-59,94	Santé:Paharmacie		R	
2022-08-04	MCDONALDS	-15,6	Alimentation:Fast food		R	
2022-08-04	MONOPRIX	-57,99	Alimentation:Supermarché		R	
2022-08-04	DIRECT ASSURANCE	-22,39	Assurance:Assurance Habitation		R	
2022-08-04	AMAZON DIGIT	-2,99	Loisirs:Service Numérique		R	
2022-08-04	BONNEFOY JULIEN	400	Transaction interne		R	
2022-08-05	MCDONALDS	-17,6	Alimentation:Fast food		R	
2022-08-05	FRANPRIX	-35,45	Alimentation:Supermarché		R	
2022-08-05	LE LONGCHAMP	-21	Junk:Tabac		R	
2022-08-05	OUI ENERGY	-72,16	Logement:Frais généraux:Electricité		R	
2022-08-05	FREE HAUTDEBIT	-63,48	Logement:Frais généraux:Internet-TV-Téléphone		R	
2022-08-05	AMAZON DIGIT	-4,99	Loisirs:Service Numérique		R	
2022-08-05	EUROPCAR	-100	Transport:Location de véhicule		R	
2022-08-05	UBER	-16,04	Transport:VTC-Taxi		R	
2022-08-05	UBER	-16,49	Transport:VTC-Taxi		R	
2022-08-06	AUCHAN	-21,71	Alimentation:Supermarché		R	
2022-08-06	MONOPRIX	-41,14	Alimentation:Supermarché		R	
2022-08-06	AMAZON	-27,59	Logement:Equipement		R	
2022-08-06	PLAQUE RAPIDE	-9	Logement:Frais généraux:Services postaux		R	
2022-08-06	MICROSOFT	-7	Loisirs:Service Numérique		R	
2022-08-06	ATM	-15	Non attribué		R	
2022-08-07	MCDONALDS	-15,2	Alimentation:Fast food		R	
2022-08-07	OLIVIER ABBOU	-15	Dettes personnelles		R	
2022-08-07	LE LONGCHAMP	-29,6	Junk:Tabac		R	
2022-08-07	LA SOCIETE GENERALE	-100	Retrait despèces		R	
2022-08-08	CARTE BANCAIRE	15	Dettes personnelles		R	
2022-08-08	EUROPCAR	100	Pending:Pending Location de véhivcule		R	
2022-08-09	E.LECLERC	-84,28	Alimentation:Supermarché		R	
2022-08-09	FRANPRIX	-10,5	Alimentation:Supermarché		R	
2022-08-11	AUCHAN	-94,29	Alimentation:Supermarché		R	
2022-08-11	AUCHAN	-11,5	Alimentation:Supermarché		R	
2022-08-11	AUCHAN	-10,06	Alimentation:Supermarché		R	
2022-08-11	STARBUCKS	-6,05	Alimentation:TakeAway		R	
2022-08-11	TOTAL	-150	Automobile:Carburant		R	
2022-08-11	TOTAL	114,97	Pending:Pending Carburant		R	
2022-08-11	SEPHORA	-85	Soins:Parfums-Produits de beauté		R	
2022-08-12	AUCHAN	-77,69	Alimentation:Supermarché		R	
2022-08-12	FONCIA AD IMMOBILIER GERANCE	705	Revenus fonciers		R	
